seed,condition,family,n_images,off_static_gap,on64_static_gap,delta_static_on64_minus_off,off_response_gap,on64_response_gap,delta_response_on64_minus_off,c_gap,off_detection_loss_increase,on64_detection_loss_increase,delta_detection_loss_increase,off_confidence_drop,on64_confidence_drop,delta_confidence_drop
20260825,contrast:0.75,contrast,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,0.9957240782678127,0.9970875848084688,0.0013635065406560898,0.08201736398041248,0.02975589269772172,0.015331487637013197,-0.014424405060708523,0.013674864848144352,0.01451762090437114,0.0008427560562267889
20260825,contrast:0.5,contrast,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,0.996103425975889,1.0028346320614219,0.006731206085532904,0.0873850635252893,0.1699010757729411,0.1628754655830562,-0.007025610189884901,0.03561537077184766,0.03743256400921382,0.0018171932373661562
20260825,gaussian_blur:1.0,gaussian_blur,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,1.0119346976280212,1.022656346205622,0.010721648577600718,0.09137550601735711,0.2191009190864861,0.2696002903394401,0.050499371252954006,0.03238937638234347,0.04507717298401985,0.012687796601676384
20260825,gaussian_blur:2.0,gaussian_blur,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,0.9963470087386668,0.999847523868084,0.003500515129417181,0.08415437256917357,1.5416073123924434,1.7000973583199084,0.15849004592746496,0.0871040058991639,0.0994404099037638,0.012336404004599899
20260825,gaussian_noise:0.03,gaussian_noise,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,1.0439256522804499,1.0742329484783113,0.030307296197861433,0.11096115363761783,0.1853251699358225,0.27832010900601745,0.09299493907019496,0.034440257487585765,0.04039738823194057,0.005957130744354805
20260825,gaussian_noise:0.06,gaussian_noise,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,1.073667076881975,1.0854210299439728,0.01175395306199789,0.09240781050175428,0.9557070985902101,1.1384744943352416,0.18276739574503154,0.08028731235826854,0.0873757590889909,0.007088446730722356
20260826,brightness:0.8,brightness,128,0.5933577218092978,0.5902046672999859,-0.0031530545093119144,0.9996490147896111,0.9952538255602121,-0.004395189229398966,-0.0012421347200870514,-0.00141080841422081,0.005175911355763674,0.006586719769984484,-0.00153069959487766,-0.0007995302032213662,0.0007311693916562939
20260826,brightness:0.6,brightness,128,0.5933577218092978,0.5902046672999859,-0.0031530545093119144,1.0010948413982987,0.9955021552741528,-0.005592686124145985,-0.00243963161483407,-0.00040082260966300964,-0.00768761383369565,-0.0072867912240326405,-0.0016664247843436895,-0.0006596435327082873,0.0010067812516354022
20260826,contrast:0.75,contrast,128,0.5933577218092978,0.5902046672999859,-0.0031530545093119144,0.995578620582819,0.9991087196394801,0.003530099056661129,0.0066831535659730434,0.031484258361160755,-0.00046333298087120056,-0.031947591342031956,0.007210463471710682,0.009526796190766618,0.0023163327190559363
20260826,contrast:0.5,contrast,128,0.5933577218092978,0.5902046672999859,-0.0031530545093119144,0.9973354460671544,1.002794537693262,0.005459091626107693,0.008612146135419607,0.15508294757455587,0.13040181854739785,-0.024681129027158022,0.023033371299970896,0.027775784002733415,0.00474241270276252
20260826,gaussian_blur:1.0,gaussian_blur,128,0.5933577218092978,0.5902046672999859,-0.0031530545093119144,1.0181558378972113,1.012853542342782,-0.005302295554429293,-0.0021492410451173782,0.28650326654314995,0.20807925378903747,-0.07842401275411248,0.039321278757415715,0.03469331026135478,-0.004627968496060932
