scope,group,metric,n,blocks,mean,std,median,q25,q75,positive_fraction,negative_fraction,ci_low,ci_high
seed,20260826,teacher_response_norm_median,128,16,0.2909807565482513,0.2095464158292785,0.2293089262238298,0.0984002139806313,0.4666593925179362,1.0,0.0,0.22066929015517478,0.23864449251226336
seed,20260826,cos_static_mean,128,16,0.640249364729025,0.027149302918097015,0.6467205720631619,0.6222210743520452,0.6597909182774115,1.0,0.0,0.6294517631481257,0.6578856788878875
seed,20260826,cos_response_mean,128,16,0.0018198467291304708,0.014901732726592069,0.001634622261669603,-0.009725877808863654,0.012989659453844268,0.5625,0.4375,-0.003749568358805265,0.006268665016495139
seed,20260826,response_grad_Z,128,16,0.22503325641095528,0.18731544183452972,0.1357705261028211,0.0694677554948633,0.36592800068974196,1.0,0.0,0.12276526844658647,0.16045583504631875
seed,20260826,response_grad_P4,128,16,0.17047191759690253,0.14073388726086825,0.10014528109167282,0.052110616493493286,0.2838006707806734,1.0,0.0,0.08870696857807216,0.11149713766520716
family,brightness,A_Z,96,16,80.81754456587224,18.076131275672864,80.83506686797017,71.5166468425066,90.81977949392962,1.0,0.0,78.24961470041211,84.91762814513567
family,brightness,A_Z_single,96,16,57.146633801374264,12.78175500264652,57.15902394000971,50.569905950059905,64.21928194602458,1.0,0.0,55.33083317989595,60.04583070370305
family,brightness,A_P4,96,16,77.3784445615586,18.054956011642187,77.83738660084262,66.54660270448039,87.03701390671657,1.0,0.0,74.46262304754961,83.02880343726557
family,brightness,projector_transfer_ratio,96,16,0.954205819053587,0.050769309498682545,0.9599256694239371,0.9185695994981734,0.9888913286307217,1.0,0.0,0.9365618600635814,0.9777741127946923
family,brightness,G_norm,96,16,42.80855200553797,8.95045446338231,43.37108790055122,38.12951071592086,47.48353547493855,1.0,0.0,41.326041884074115,45.9857692895642
family,brightness,G_angle,96,16,1.3311724707552226,0.06024749564512676,1.3263362299347152,1.2939250494032226,1.3578493551510378,1.0,0.0,1.309348399432515,1.3431297835818397
family,brightness,dominance_margin,96,16,3.0962816220344322,0.2248257738767313,3.1321337154568973,2.9815542147249547,3.2364017354236463,1.0,0.0,3.0630955928408383,3.1931914854921435
family,brightness,student_static_norm_median,96,16,3.9203539417313693,0.3721338503894717,3.9063421261032816,3.656472459359251,4.039887014273024,1.0,0.0,3.8201481181174453,3.9355030193568887
family,brightness,student_response_norm_median,96,16,0.1116992835834511,0.04817197450768514,0.10032393865143181,0.09326427357560314,0.11530008751832191,1.0,0.0,0.09665516361565178,0.10766813750439154
family,brightness,teacher_response_norm_median,96,16,0.08458218806319218,0.02434652074852757,0.0826079104339484,0.06083917370109816,0.10902469822278077,1.0,0.0,0.08113104000711455,0.0831318016371421
family,brightness,cos_static_mean,96,16,0.6467108488859753,0.0337199813401644,0.650366155806661,0.6226661311107807,0.6650668703735401,1.0,0.0,0.6331845849417239,0.6597063585887256
family,brightness,cos_response_mean,96,16,0.0009571768156400165,0.014548561546632546,0.0014757276638282706,-0.00942178868211082,0.010461146514126302,0.5416666666666666,0.4583333333333333,-0.0015753947492093924,0.005277175662803408
family,brightness,response_grad_Z,96,16,0.491250895697998,0.10810227899390777,0.5014429021975813,0.4402254220207598,0.5499752137135903,1.0,0.0,0.47344629453376535,0.5341777242890371
family,brightness,response_grad_P4,96,16,0.36139920168691847,0.06849911338216684,0.36415680762870273,0.31433167069882995,0.3985336030175785,1.0,0.0,0.35018718768164336,0.38679522590578563
family,contrast,A_Z,96,16,40.7433361451622,15.359607616024954,37.48553812670307,28.48848758525208,55.06906904161838,1.0,0.0,34.394856737192015,39.4264235340741
family,contrast,A_Z_single,96,16,28.809889276407166,10.860882701655784,26.50627820581861,20.144402757280517,38.93971215295852,1.0,0.0,24.320836436808282,27.87869143887668
family,contrast,A_P4,96,16,38.51583788302681,15.151597600074622,34.89121614080007,26.646140726573798,50.7525781232992,1.0,0.0,32.26250121945273,37.73627228309991
family,contrast,projector_transfer_ratio,96,16,0.9445140355919124,0.06383089835190618,0.9437536591885854,0.9081026636249077,0.9776477784799522,1.0,0.0,0.9243666749681242,0.966295154346501
family,contrast,G_norm,96,16,21.504559515878608,7.951132436635657,18.961200312802,15.297923845721368,27.95191770799061,1.0,0.0,18.073208857915276,20.350022562294487
family,contrast,G_angle,96,16,1.3367871240674123,0.056569444402662615,1.3324228414780417,1.3041794385414667,1.365950458146942,1.0,0.0,1.3181875157719014,1.3478797046519833
family,contrast,dominance_margin,96,16,2.3424011915548237,0.46650736893280337,2.287886332449371,2.089477738538509,2.7074160473653928,0.9895833333333334,0.010416666666666666,2.222560710197965,2.3625801604342556
family,contrast,student_static_norm_median,96,16,3.8745018197328114,0.25533367714746213,3.877601419848235,3.6463085280368768,4.028528279066389,1.0,0.0,3.8316979074178796,3.918260181961956
family,contrast,student_response_norm_median,96,16,0.26321815645875435,0.259634567844729,0.2476444219078755,0.15728198379580446,0.29112598516116295,1.0,0.0,0.21893315956524248,0.2577965344164045
family,contrast,teacher_response_norm_median,96,16,0.12993968342221873,0.04318727477977318,0.13225747614437527,0.08846412353146926,0.16944507057371327,1.0,0.0,0.1228559857583256,0.13338860008458994
family,contrast,cos_static_mean,96,16,0.6518280570324961,0.03071934329692986,0.6548045709931662,0.6292065485310677,0.6689029890638245,1.0,0.0,0.6400678619813631,0.6634084685163203
family,contrast,cos_response_mean,96,16,-0.005189562265427641,0.01777139872866127,-0.0044658905621614165,-0.01601871968069291,0.00637426898503037,0.4166666666666667,0.5833333333333334,-0.009526055583485968,0.0032245938610480493
family,contrast,response_grad_Z,96,16,0.24774473724058224,0.09100816148823825,0.21378026407569398,0.17562665852807624,0.32286384453504413,1.0,0.0,0.2003431209674379,0.2417878508006911
family,contrast,response_grad_P4,96,16,0.17917859854831844,0.06645601893026912,0.15976703268539205,0.1259530629471437,0.23204820404748025,1.0,0.0,0.14455813589980837,0.1783873200930003
