epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
36,4878.72,2.20024,3.0837,0.01989,0.99949,0.26454,0.31661,0.09921,0.07423,0.04146,2.22224,3.1369,0.02241,0,0,0.264537,0.305263,0.135632,0.15,0.00307,0.00307,0.00307,0.001535,0.00614
37,5025.46,2.19038,3.04936,0.01986,0.99952,0.26134,0.33937,0.09546,0.07306,0.04183,2.22533,3.0976,0.02222,0,0,0.26134,0.30624,0.129327,0.15,0.002872,0.002872,0.002872,0.001436,0.005744
38,5165.15,2.19093,3.06954,0.01996,0.99969,0.26155,0.32623,0.09324,0.07544,0.04302,2.23647,3.0932,0.0223,0,0,0.261554,0.30599,0.129934,0.15,0.002674,0.002674,0.002674,0.001337,0.005348
39,5301.48,2.15985,3.03249,0.01976,0.99854,0.26012,0.31498,0.10621,0.08047,0.04463,2.21382,3.05695,0.02227,0,0,0.260119,0.30592,0.127612,0.15,0.002476,0.002476,0.002476,0.001238,0.004952
40,5437.71,2.20333,3.04328,0.02003,1.00053,0.26202,0.36851,0.09309,0.08037,0.04583,2.22882,3.07043,0.02217,0,0,0.262025,0.304131,0.132577,0.15,0.002278,0.002278,0.002278,0.001139,0.004556
41,5582.01,2.21664,3.09049,0.02242,1.00067,0.31695,0.29471,0.09728,0.07625,0.04335,2.24251,3.07583,0.02212,0,0,0.316951,0.381573,0.146679,0.15,0.00208,0.00208,0.00208,0.00104,0.00416
42,5729.22,2.18862,3.02271,0.02239,0.99902,0.31809,0.30157,0.10103,0.07645,0.04319,2.23206,3.05349,0.02211,0,0,0.318085,0.368684,0.161458,0.15,0.001882,0.001882,0.001882,0.000941,0.003764
43,5876,2.18273,2.98376,0.02203,0.99939,0.31191,0.29122,0.10736,0.08301,0.04768,2.21813,3.03523,0.02201,0,0,0.311909,0.361012,0.158837,0.15,0.001684,0.001684,0.001684,0.000842,0.003368
44,6022.55,2.16439,2.95065,0.02206,1.00009,0.30811,0.29671,0.10037,0.08304,0.0486,2.21051,3.02935,0.0217,0,0,0.308109,0.35475,0.158765,0.15,0.001486,0.001486,0.001486,0.000743,0.002972
45,6170.52,2.17222,2.94784,0.02201,0.99932,0.30721,0.32671,0.10867,0.08159,0.04592,2.20918,3.0112,0.02183,0,0,0.307207,0.351177,0.160834,0.15,0.001288,0.001288,0.001288,0.000644,0.002576
46,6314.73,2.15844,2.90897,0.02139,1.00034,0.30545,0.31266,0.10362,0.08573,0.04914,2.20908,2.99567,0.02168,0,0,0.305452,0.347318,0.161768,0.15,0.00109,0.00109,0.00109,0.000545,0.00218
47,6463.65,2.15231,2.91945,0.02161,1.0002,0.30453,0.30953,0.10242,0.08491,0.04923,2.19273,2.99814,0.02149,0,0,0.304526,0.345572,0.161971,0.15,0.000892,0.000892,0.000892,0.000446,0.001784
48,6610.95,2.12737,2.9059,0.02156,0.99973,0.30443,0.29883,0.10323,0.08478,0.04876,2.19031,2.99165,0.02141,0,0,0.304434,0.345934,0.161456,0.15,0.000694,0.000694,0.000694,0.000347,0.001388
49,6761.7,2.14083,2.90815,0.02123,0.9995,0.30282,0.32652,0.1022,0.08636,0.05054,2.18677,2.98888,0.0213,0,0,0.302821,0.340629,0.164073,0.15,0.000496,0.000496,0.000496,0.000248,0.000992
50,6911.66,2.12111,2.89296,0.02123,1.00011,0.30239,0.30193,0.10433,0.08698,0.05054,2.1845,2.99004,0.02132,0,0,0.302394,0.342015,0.161975,0.15,0.000298,0.000298,0.000298,0.000149,0.000596
